Source Name,Author(s),Link,Πηγή,,,,,,,,,,,,,,,
"Reinforcement Learning: An Introduction, second edition",Richard S. Sutton and Andrew G. Barto,http://incompleteideas.net/book/RLbook2020.pdf,1,,,,,,,,,,,,,,,
Deep reinforcement learning,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Algorithms for reinforcement learning,Cs. Szepesvári,Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Mastering the game of Go with deep neural networks and tree search (AlphaGo),"Silver, D., Huang, A., Maddison, C. J., Guez, A., Sifre, L., van den Driessche, G., κ.ά.",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Human-level control through deep reinforcement learning (DQN),"Mnih, V., Kavukcuoglu, K., Silver, D., Rusu, A. A., Veness, J., Bellemare, M. G., κ.ά.",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Neuro-Dynamic Programming,"D. P. Bertsekas, J. N. Tsitsiklis",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Tile coding software,Richard S. Sutton,http://incompleteideas.net/tiles/tiles3.html,1,,,,,,,,,,,,,,,
Learning to soar in turbulent environments,"Reddy, G., Celani, A., Sejnowski, T. J., Vergassola, M.",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
A survey of monte carlo tree search methods,"Browne, C.B., Powley, E., Whitehouse, D., Lucas, S.M., κ.ά.",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Reinforcement learning in robotics: A survey,"J. Kober, J. Peters",Δεν αναφέρεται άμεσος σύνδεσμος στο κείμενο (link),1,,,,,,,,,,,,,,,
Distributionally Robust Learning,"Ruidi Chen, Ioannis Ch. Paschalidis",https://arxiv.org/pdf/2108.08993,2,,,,,,,,,,,,,,,
Wasserstein distributionally robust Kalman filtering,"S. S. Abadeh, V. A. Nguyen, D. Kuhn, P. M. M. Esfahani",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Robust dynamic programming,G. Iyengar,Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Distributional robustness and regularization in reinforcement learning,"E. Derman, S. Mannor",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Optimal prescriptive trees,"D. Bertsimas, J. Dunn, N. Mundru",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
From predictive to prescriptive analytics,"D. Bertsimas, N. Kallus",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
A robust learning approach for regression models based on distributionally robust optimization,"R. Chen, I. C. Paschalidis",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Data-driven distributionally robust optimization using the Wasserstein metric,"P. M. Esfahani, D. Kuhn",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Distributionally robust stochastic optimization with Wasserstein distance,"R. Gao, A. J. Kleywegt",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
