material_id,canonical_title,authors,year,url,identification_status,confidence,thesis_relevance,notes
MAT-13CFB90F59,,,,,pending,,unreviewed,
MAT-3885929C65,,,,,pending,,unreviewed,
MAT-57F4845C32,,,,,pending,,unreviewed,
MAT-589A4A178F,,,,,pending,,unreviewed,
MAT-5F18075EE6,,,,,pending,,unreviewed,
MAT-6799C781D0,,,,,pending,,unreviewed,
MAT-6E43CBD6C9,,,,,pending,,unreviewed,
MAT-70A0C89F93,,,,,pending,,unreviewed,
MAT-71A2ACCC0D,,,,,pending,,unreviewed,
MAT-7AEBFE937B,,,,,pending,,unreviewed,
MAT-7FE66E620F,,,,,pending,,unreviewed,
MAT-857A946D82,,,,,pending,,unreviewed,
MAT-87DC591A94,,,,,pending,,unreviewed,
MAT-88EF296CE8,,,,,pending,,unreviewed,
MAT-BB6A0F7667,,,,,pending,,unreviewed,
MAT-BC851295BC,,,,,pending,,unreviewed,
MAT-C7E22C59DE,,,,,pending,,unreviewed,
MAT-D9381B36C1,,,,,pending,,unreviewed,
MAT-F573D5B6C7,,,,,pending,,unreviewed,
