Όνομα / Τίτλος πηγής,Συγγραφέας ή συγγραφείς,Link / URL,Πηγή
Reinforcement Learning: An Introduction,"Richard S. Sutton, Andrew G. Barto",http://incompleteideas.net/book/the-book.html,"1, 2, 3, 4"
Reinforcement Learning and Optimal Control,Dimitri P. Bertsekas,http://web.mit.edu/dimitrib/www/RLbook.html,"5, 6, 7, 1, 8, 3, 9"
Neuro-Dynamic Programming,"Dimitri P. Bertsekas, John N. Tsitsiklis",https://web.mit.edu/dimitrib/www/NDP.pdf,"5, 6, 10, 7, 1, 8, 11, 9"
"Rollout, Policy Iteration, and Distributed Reinforcement Learning",Dimitri P. Bertsekas,https://web.mit.edu/dimitrib/www/Rollout_Complete%20Book.pdf,"5, 6, 7, 8, 9"
Abstract Dynamic Programming,Dimitri P. Bertsekas,https://web.mit.edu/dimitrib/www/AbstractDP_ED3_TEXT_2021.pdf,"5, 6, 7, 1, 8, 12, 9"
Dynamic Programming and Optimal Control (Two-Volume Set),Dimitri P. Bertsekas,http://www.athenasc.com,"5, 6, 7, 13, 1, 8, 14, 15, 16"
"Lessons from AlphaZero for Optimal, Model Predictive, and Adaptive Control",Dimitri P. Bertsekas,https://web.mit.edu/dimitrib/www/LessonsfromAlphazero.pdf,"5, 7, 8, 12, 9"
Markov Decision Processes: Discrete Stochastic Dynamic Programming,Martin L. Puterman,https://github.com/martyput/MDP_book,"13, 1, 11, 17, 14, 15, 18, 16"
Human-level control through deep reinforcement learning,Volodymyr Mnih et al.,https://www.nature.com/articles/nature14236,"19, 17"
Playing Atari with Deep Reinforcement Learning,Volodymyr Mnih et al.,https://arxiv.org/abs/1312.5602,"17, 3, 20"
Mastering the game of Go with deep neural networks and tree search,"Silver, D., et al.",https://eclass.uoa.gr/modules/document/file.php/DI437/agz_unformatted_nature.pdf,"5, 1, 17, 3"
Mastering the game of Go without human knowledge,"Silver, D., et al.",https://eclass.uoa.gr/modules/document/file.php/DI437/agz_unformatted_nature.pdf,"5, 21, 17"
Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,"Silver, D., et al.",Μη διαθέσιμος,"5, 1, 17"
Deep Reinforcement Learning with Double Q-learning,"Hado van Hasselt, Arthur Guez, and David Silver",https://arxiv.org/abs/1509.06461,"19, 17"
Rainbow: Combining Improvements in Deep Reinforcement Learning,Matteo Hessel et al.,https://arxiv.org/abs/1710.02298,"19, 17, 2"
Proximal Policy Optimization Algorithms,John Schulman et al.,https://arxiv.org/abs/1707.06347,"19, 17"
Asynchronous Methods for Deep Reinforcement Learning,Volodymyr Mnih et al.,https://arxiv.org/abs/1602.01783,"19, 17, 2"
Learning to Predict by the Methods of Temporal Differences,Richard S. Sutton,Μη διαθέσιμος,"10, 17"
Policy Gradient Methods for Reinforcement Learning with Function Approximation,Richard S. Sutton et al.,https://proceedings.neurips.cc/paper/1999/file/464d828b85b0bed98e80ade0a5c43b0f-Paper.pdf,"19, 15"
Introduction to Probability,"Dimitri P. Bertsekas, John N. Tsitsiklis",http://www.athenasc.com,"5, 6, 1, 8, 22, 23"
Convex Optimization Theory,Dimitri P. Bertsekas,http://web.mit.edu/dimitrib/www/Convex_Theory_Entire_Book.pdf,"5, 1, 8, 9"
Convex Analysis and Optimization,"Dimitri P. Bertsekas, Angelia Nedić, Asuman E. Ozdaglar",http://www.athenasc.com,"5, 6, 1, 8"
Nonlinear Programming,Dimitri P. Bertsekas,http://www.athenasc.com,"5, 6, 1, 8"
Introduction to Linear Optimization,"Dimitris Bertsimas, John N. Tsitsiklis",http://www.athenasc.com,"5, 6, 1, 8"
Parallel and Distributed Computation: Numerical Methods,"Dimitri P. Bertsekas, John N. Tsitsiklis",http://www.athenasc.com,"5, 6, 7, 1, 8"
Network Optimization: Continuous and Discrete Models,Dimitri P. Bertsekas,http://web.mit.edu/dimitrib/www/netbook_Full_Book_NEW.pdf,"5, 1, 8, 9"
Stochastic Optimal Control: The Discrete-Time Case,"Dimitri P. Bertsekas, Steven E. Shreve",https://web.mit.edu/dimitrib/www/SOC_1978.pdf,"5, 6, 1, 8, 9"
Constrained Optimization and Lagrange Multiplier Methods,Dimitri P. Bertsekas,https://web.mit.edu/dimitrib/www/Constrained-Opt.pdf,"5, 1, 8, 9"
Convex Optimization Algorithms,Dimitri P. Bertsekas,http://www.athenasc.com,"5, 1, 8"
Network Flows and Monotropic Optimization,R. Tyrrell Rockafellar,http://www.athenasc.com,"5, 1, 8"
Planning Algorithms,Steven M. LaValle,http://planning.cs.uiuc.edu/,"24, 25"
Robust Reinforcement Learning: A Review of Foundations and Recent Advances,"Janosch Moos, Kay Hansel et al.",https://doi.org/10.3390/make4010013,26
Robust Adversarial Reinforcement Learning,"Lerrel Pinto, James Davidson, Rahul Sukthankar, Abhinav Gupta",https://arxiv.org/abs/1703.02702,"26, 27"
Action Robust Reinforcement Learning and Applications in Continuous Control,"Chen Tessler, Yonathan Efroni, Shie Mannor",https://proceedings.mlr.press/v97/tessler19a/tessler19a.pdf,"26, 28"
A Bayesian Approach to Robust Reinforcement Learning,"Esther Derman, Daniel Mankowitz, Timothy Mann, Shie Mannor",https://proceedings.mlr.press/v115/derman20a/derman20a.pdf,"26, 29"
Scaling Up Robust MDPs by Reinforcement Learning,"Aviv Tamar, Huan Xu, Shie Mannor",https://arxiv.org/pdf/1306.6189,"26, 30"
Risk Averse Robust Adversarial Reinforcement Learning,"Xinlei Pan, Daniel Seita, Yang Gao, John Canny",https://arxiv.org/pdf/1904.00511,"26, 31"
A comprehensive survey on safe reinforcement learning,"Javier García, Fernando Fernández",https://www.jmlr.org/papers/volume16/garcia15a/garcia15a.pdf,"32, 2"
AI Safety Gridworlds,"Jan Leike, Miljan Martic et al.",https://arxiv.org/pdf/1711.09883,"2, 33"
SafeLife: safety benchmarks for reinforcement learning agents,"Carroll Wainwright, Peter Eckersley",https://github.com/PartnershipOnAI/safelife,"34, 35"
Dynamic Programming,Richard Bellman,Μη διαθέσιμος,"13, 36, 14"
Introduction to Stochastic Dynamic Programming,Sheldon Ross,Μη διαθέσιμος,"13, 14, 15, 16"
Dynamic Programming and Markov Processes,Ronald Howard,Μη διαθέσιμος,"13, 14"
Finite State Markovian Decision Processes,Cyrus Derman,Μη διαθέσιμος,"13, 14"
Introduction to Operations Research,"F.S. Hillier, G.J. Lieberman",Μη διαθέσιμος,"13, 14"
Operations Research: An Introduction,Hamdy A. Taha,Μη διαθέσιμος,"13, 14"
Introduction to Discrete Event Systems,"C.G. Cassandras, S. Lafortune",Μη διαθέσιμος,"13, 14"
Stochastic Dynamic Programming and the Control of Queueing Systems,Linn I. Sennott,Μη διαθέσιμος,"13, 14"
Neural Networks: A Comprehensive Foundation,Simon Haykin,Μη διαθέσιμος,"37, 38"
Pattern Recognition and Machine Learning,Christopher M. Bishop,Μη διαθέσιμος,"23, 10"
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",Μη διαθέσιμος,37
Q-Learning,"C.J. Watkins, P. Dayan",Μη διαθέσιμος,"17, 15"
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Μη διαθέσιμος,"39, 40"
Στοχαστικά Μοντέλα στην Επιχειρησιακή Έρευνα Προπτυχιακό Εγχειρίδιο,"Απόστολος Ν. Μπουρνέτας, Αντώνιος Θ. Οικονόμου",http://dx.doi.org/10.57713/kallipos-497,"13, 14"
Υπολογιστική νοημοσύνη και βαθιά μάθηση,"Σπυρίδων Λυκοθανάσης, Δημήτριος Κουτσομητρόπουλος",http://dx.doi.org/10.57713/kallipos-168,"37, 41"
Ασαφή και νευροασαφή συστήματα – Ασαφής Βαθεία Μάθηση,Πάρις Μαστοροκώστας,http://dx.doi.org/10.57713/kallipos-146,"42, 41"
Εργαστηριακές Ασκήσεις Τεχνητής Νοημοσύνης με τη Γλώσσα Prolog,Κυριάκος Σγάρμπας,https://dx.doi.org/10.57713/kallipos-378,"39, 41"
Εισαγωγή στην υπολογιστική νοημοσύνη,"Β. Καμπουρλάζος, Γ. Παπακώστας",https://dx.doi.org/10.57713/kallipos-661,"42, 41"
Τεχνητή Νοημοσύνη,Α. Γεωργούλη,https://dx.doi.org/10.57713/kallipos-666,"39, 41"
Σήματα και Συστήματα,Σεραφείμ Καραμπογιάς,https://www.kallipos.gr,43
Εισαγωγή στη Θεωρία Σημάτων και Συστημάτων,"Σ. Θεοδωρίδης, Κ. Μπερμπερίδης, Λ. Κοφίδης",Μη διαθέσιμος,"43, 44, 23"
Στοχαστικές Διαδικασίες,Μιχάλης Λουλάκης,https://www.kallipos.gr,22
Ενισχυτική Μάθηση (INF524),Σταύρος Τουμπής,https://eclass.aueb.gr/courses/INF524/,45
Distributional Reinforcement Learning,"Marc G. Bellemare, Will Dabney, Mark Rowland",https://mitpress.mit.edu/9780262048019/distributional-reinforcement-learning/,46
Motion Strategy Library (MSL),Steven M. LaValle,http://msl.cs.uiuc.edu/msl/,24
Universal Reinforcement Learning Algorithms: Survey and Experiments,"John Aslanides, Jan Leike, Marcus Hutter",https://arxiv.org/pdf/1705.10557,47
