Όνομα Πηγής,Συγγραφέας(είς),Σύνδεσμος,Πηγή,
"Reinforcement Learning: An Introduction, second edition",Richard S. Sutton and Andrew G. Barto,http://incompleteideas.net/book/RLbook2020.pdf,1,
Bioinformatics: The Machine Learning Approach,Pierre Baldi and Søren Brunak,Δεν αναφέρεται στην πηγή,1,
Graphical Models for Machine Learning and Digital Communication,Brendan J. Frey,Δεν αναφέρεται στην πηγή,1,
Learning in Graphical Models,Michael I. Jordan,Δεν αναφέρεται στην πηγή,1,
"Causation, Prediction, and Search, second edition","Peter Spirtes, Clark Glymour, and Richard Scheines",Δεν αναφέρεται στην πηγή,1,
Principles of Data Mining,"David Hand, Heikki Mannila, and Padhraic Smyth",Δεν αναφέρεται στην πηγή,1,
Learning Kernel Classifiers: Theory and Algorithms,Ralf Herbrich,Δεν αναφέρεται στην πηγή,1,
"Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond",Bernhard Schölkopf and Alexander J. Smola,Δεν αναφέρεται στην πηγή,1,
Introduction to Machine Learning,Ethem Alpaydin,Δεν αναφέρεται στην πηγή,1,
Gaussian Processes for Machine Learning,Carl Edward Rasmussen and Christopher K.I. Williams,Δεν αναφέρεται στην πηγή,1,
Semi-Supervised Learning,"Olivier Chapelle, Bernhard Schölkopf, and Alexander Zien (Eds.)",Δεν αναφέρεται στην πηγή,1,
The Minimum Description Length Principle,Peter D. Grünwald,Δεν αναφέρεται στην πηγή,1,
Introduction to Statistical Relational Learning,Lise Getoor and Ben Taskar (Eds.),Δεν αναφέρεται στην πηγή,1,
Probabilistic Graphical Models: Principles and Techniques,Daphne Koller and Nir Friedman,Δεν αναφέρεται στην πηγή,1,
Machine Learning in Non-Stationary Environments: Introduction to Covariate Shift Adaptation,Masashi Sugiyama and Motoaki Kawanabe,Δεν αναφέρεται στην πηγή,1,
Boosting: Foundations and Algorithms,Robert E. Schapire and Yoav Freund,Δεν αναφέρεται στην πηγή,1,
Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,Δεν αναφέρεται στην πηγή,1,
