Όνομα Πηγής,Συγγραφέας/είς,Σύνδεσμος,Πηγή,,
A Survey of Reinforcement Learning For Economics,Pranjal Rawat,https://arxiv.org/abs/2603.08956v3,1,,
Estimation of dynamic discrete choice models with differentiable temporal-difference learning,"S. Adusumilli, M. Eckardt, and G. Tate",https://arxiv.org/abs/2209.15174,1,,
Dynamic pricing on E-commerce platform with deep reinforcement learning: A field experiment,"Jiaxi Liu, Xiaoqing Wang, Yuming Deng, Xingyu Wu, and Yidong Zhang",https://arxiv.org/abs/1912.02572,1,,
Deep reinforcement learning for sequential combinatorial auctions,"Sai Srivatsa Ravindranath, Zhe Feng, Di Wang, Manzil Zaheer, Aranyak Mehta, and David C. Parkes",https://openreview.net/forum?id=SVd9Ffcdp8,1,,
EFFICIENT ADAPTATION OF REINFORCEMENT LEARNING AGENTS TO SUDDEN ENVIRONMENTAL CHANGE,Jonathan Clifford Balloch,https://arxiv.org/pdf/2505.10330,2,,
NovGrid: A flexible grid world for evaluating agent response to novelty,J. C. Balloch et al.,Δεν υπάρχει στην πηγή,2,,
Curious Replay for Model-based Adaptation,"I. Kauvar, C. Doyle, L. Zhou, και N. Haber",Δεν υπάρχει στην πηγή,2,,
Concept Embedding Models: Beyond the Accuracy-Explainability Trade-off,M. Espinosa Zarlenga et al.,Δεν υπάρχει στην πηγή,2,,
Mastering diverse domains through world models,"D. Hafner, J. Pasukonis, J. Ba, και T. Lillicrap",Δεν υπάρχει στην πηγή,2,,
Deep Reinforcement Learning in Non-stationary Environments (Thesis),Zihe Liu,https://opus.lib.uts.edu.au/bitstream/10453/186408/1/thesis.pdf,3,,
Deep Reinforcement Learning in Nonstationary Environments with Unknown Change Points,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",DOI: 10.1109/TCYB.2024.3356981,3,,
A Behavior-Aware Approach for Deep Reinforcement Learning in Non-stationary Environments without Known Change Points,"Zihe Liu, Jie Lu, Guangquan Zhang, Junyu Xuan",DOI: 10.24963/ijcai.2024/512,3,,
Functional Wasserstein Variational Policy Optimization,"Junyu Xuan, Mengjing Wu, Zihe Liu, Jie Lu",The 40th Conference on Uncertainty in Artificial Intelligence (UAI) 2024,3,,
Learning Latent and Changing Dynamics in Real Non-stationary Environments,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",IEEE Transactions on Knowledge and Data Engineering under review,3,,
Functional Detection and Adaptation in Non-stationary Environments,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",IEEE Transactions on Neural Networks and Learning Systems under review,3,,
An environment for autonomous driving decision-making,E. Leurent,https://github.com/eleurent/highway-env,3,,
An Integrated Framework for Remote Planning,"Yaniel Carreno, Pierre Le Bras, Èric Pairet Artau, Paola Ardón Ramı́rez, Mike Chantler, Ron Petrick",https://github.com/plebras/PlanVisualisationLive,4,,
Do You See What I See? An Egocentric View of our Pansophical Planning Problems,"Xiaotian Liu, Alison Paredes, Christian Muise",http://solver.planning.domains,4,,
Robust Optimization for Mitigating Reward Hacking with Correlated Proxies,"Zixuan Liu, Xiaolin Sun & Zizhan Zheng",arXiv:2604.12086v1,5,,
reward_hacking (Κώδικας GitHub),Zixuan Liu,GitHub Repository,5,,
Concrete problems in AI safety,"D. Amodei, C. Olah, J. Steinhardt, P. Christiano, J. Schulman, and D. Mané",arXiv:1606.06565,5,,
Monitoring reasoning models for misbehavior and the risks of promoting obfuscation,"B. Baker, J. Huizinga, L. Gao, Z. Dou, M. Y. Guan, A. Madry, W. Zaremba, J. Pachocki, and D. Farhi",arXiv:2503.11926,5,,
Helping or herding? reward model ensembles mitigate but do not eliminate reward hacking,"J. Eisenstein, C. Nagpal, A. Agarwal, A. Beirami, A. D'Amour, D. Dvijotham, A. Fisch, K. Heller, S. Pfohl, D. Ramachandran, et al.",arXiv:2312.09244,5,,
Specification gaming examples in AI,V. Krakovna,Blog post,5,,
Classifying specification problems as variants of Goodhart's law,V. Krakovna,Blog post,5,,
"Agentic AI Engineering: Complete 4-Hour Workshop feat. MCP, CrewAI and OpenAI Agents SDK (βίντεο)","Jon Krohn, Ed",johnkrohn.com/talks (link),6,,
Building Effective Agents (άρθρο ιστολογίου),Anthropic,https://www.anthropic.com/research/building-effective-agents (Inferred),6,,
17-hour Complete AI Agents Course on Udemy,Ed,https://www.udemy.com/ (Inferred),6,,
Super Data Science Podcast,Jon Krohn,https://www.superdatascience.com/podcast (Inferred),6,,
Towards Theoretical Understandings of Robust Markov Decision Processes: Sample Complexity and Asymptotics,"Wenhao Yang, Liangyu Zhang, Zhihua Zhang",https://arxiv.org/pdf/2105.03863,7,,
Reinforcement Learning Course - Full Machine Learning Tutorial,Phil Tabor,https://www.youtube.com/watch?v=mutb7KgKu9s (link),8,,
The Ultimate Guide to Local AI and AI Agents (The Future is Here),Cole Medin,https://www.youtube.com/watch?v=dQw4w9WgXcQ (link),9,,
Dynamis.AI - AI Agent Mastery Course,Cole Medin,https://dynamis.ai (link),9,,
Ollama Official Website,Ollama Team,https://ollama.com (link),9,,
Local AI Package GitHub Repository,Cole Medin,https://github.com/colemedin/local-ai-package (link),9,,
Open Router,Open Router Team,https://openrouter.ai (link),9,,
The N8N Pipe for Open Web UI,Cole Medin,Όχι στην πηγή (link),9,,
ROBUST OPTIMIZATION FOR MITIGATING REWARD HACKING WITH CORRELATED PROXIES - Computer Science,"Zixuan Liu, Xiaolin Sun & Zizhan Zheng",https://github.com/ZixuanLiu4869/reward_hacking,10,,
Concrete problems in ai safety,"Dario Amodei, Chris Olah, Jacob Steinhardt, Paul Christiano, John Schulman, and Dan Mané",arXiv preprint arXiv:1606.06565 (link),10,,
Correlated proxies: A new definition and improved mitigation for reward hacking,"Cassidy Laidlaw, Shivam Singhal, and Anca Dragan",In International Conference on Learning Representations (link),10,,
Monitoring reasoning models for misbehavior and the risks of promoting obfuscation,"Bowen Baker, Joost Huizinga, Leo Gao, Zehao Dou, Melody Y Guan, Aleksander Madry, Wojciech Zaremba, Jakub Pachocki, and David Farhi",arXiv preprint arXiv:2503.11926 (link),10,,
Successor features for transfer in reinforcement learning,"André Barreto, Will Dabney, Rémi Munos, Jonathan J Hunt, Tom Schaul, Hado P van Hasselt, and David Silver",Advances in neural information processing systems (link),10,,
Pythia: A suite for analyzing large language models across training and scaling,"Stella Biderman, Hailey Schoelkopf, Quentin Gregory Anthony, Herbie Bradley, Kyle O’Brien, Eric Hallahan, Mohammad Aflah Khan, Shivanshu Purohit, USVSN Sai Prashanth, Edward Raff, et al.",In International Conference on Machine Learning (link),10,,
Improving generalization for temporal difference learning: The successor representation,Peter Dayan,Neural computation (link),10,,
Reward model ensembles mitigate but do not eliminate reward hacking,"Jacob Eisenstein, Chirag Nagpal, Alekh Agarwal, Ahmad Beirami, Alex D’Amour, DJ Dvijotham, Adam Fisch, Katherine Heller, Stephen Pfohl, Deepak Ramachandran, et al.",arXiv preprint arXiv:2312.09244 (link),10,,
Proximal policy optimization algorithms,"John Schulman, Filip Wolski, Prafulla Dhariwal, Alec Radford, and Oleg Klimov",arXiv preprint arXiv:1707.06347 (link),10,,
The effects of reward misspecification: Mapping and mitigating misaligned models,"Alexander Pan, Kush Bhatia, and Jacob Steinhardt",In International Conference on Learning Representations (link),10,,
Emergent Cooperation from Mutual Acknowledgment Exchange,"Thomy Phan, Felix Sommer, Philipp Altmann, Fabian Ritz, Lenz Belzner, Claudia Linnhoff-Popien",https://ifaamas.org/Proceedings/aamas2022/pdfs/p1047.pdf,11,,
