Κωδικός,Τίτλος,Συγγραφείς,Έτος,Σύνδεσμος,Τύπος,Θέματα,Κατάσταση,Επιβεβαίωση,Προτεραιότητα,Σημειώσεις
SRC-0882A9B2B0,Assessing Generalization in Deep Reinforcement Learning,Charles Packer; Katelyn Gao; Jernej Kos; Philipp Krähenbühl; Vladlen Koltun; Dawn Song,2018,https://arxiv.org/abs/1810.12282,ακαδημαϊκή εργασία,μη στασιμότητα; GridWorld; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1810.12282
SRC-09DD20BA85,Bounded Robustness in Reinforcement Learning via Lexicographic Objectives,Daniel Jarne Ornia; Licio Romao; Lewis Hammond; Manuel Mazo; Alessandro Abate,2022,https://arxiv.org/abs/2209.15320,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; αβεβαιότητα παρατηρήσεων; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; αβεβαιότητα μεταβάσεων,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2209.15320
SRC-0A4AFAC8E9,Deep Reinforcement Learning at the Edge of the Statistical Precipice,Rishabh Agarwal; Max Schwarzer; Pablo Samuel Castro; Aaron Courville; Marc G. Bellemare,2021,https://arxiv.org/abs/2108.13264,ακαδημαϊκή εργασία,βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2108.13264
SRC-0A594EACC0,Cooperative Resilience in Artificial Intelligence Multiagent Systems,Manuela Chacon-Chamorro; Luis Felipe Giraldo; Nicanor Quijano; Vicente Vargas-Panesso; César González; Juan Sebastián Pinzón; Rubén Manrique; Manuel Ríos; Yesid Fonseca; Daniel Gómez-Barrera; Mónica Perdomo-Pérez,2025,https://doi.org/10.1109/tai.2025.3567371,ακαδημαϊκή εργασία,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω Crossref,υψηλή,
SRC-0AEF7EF16A,A Bayesian Approach to Robust Reinforcement Learning - Association for Uncertainty in Artificial Int,,,https://auai.org/uai2019/proceedings/papers/228.pdf,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ασφαλής ενισχυτική μάθηση; αβεβαιότητα παρατηρήσεων; βαθιά ενισχυτική μάθηση; στατιστική αξιολόγηση,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-3856071502,Bayesian Online Changepoint Detection,Ryan Prescott Adams; David J. C. MacKay,2007,https://arxiv.org/abs/0710.3742,ακαδημαϊκή εργασία,χωρίς κατηγορία,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,χαμηλή,"Αυτόματη διόρθωση παλιού τίτλου: Bayesian Online Changepoint Detection (Adams & MacKay, 2007)"
SRC-3EA1176D3A,Solving robust MDPs as a sequence of static RL problems,Adil Zouitine; Matthieu Geist; Emmanuel Rachelson,2024,https://arxiv.org/abs/2410.06212,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; αβεβαιότητα ενεργειών; μερική παρατηρησιμότητα; πινακοποιημένη ενισχυτική μάθηση; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,
SRC-81A15E6905,Action Robust Reinforcement Learning and Applications in Continuous Control,Chen Tessler; Yonathan Efroni; Shie Mannor,2019,https://arxiv.org/abs/1901.09184,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; αβεβαιότητα ενεργειών; πινακοποιημένη ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-1901.09184
SRC-95C9DAEE68,Deep reinforcement learning in non-stationary environments,Zihe Liu,2024,https://opus.lib.uts.edu.au/handle/10453/186408,διπλωματική ή διατριβή,ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,"Δημιουργήθηκε από πρωτότυπο PDF με τίτλος, δημιουργός και έτος από το ίδιο PDF· χρειάζεται πλήρης μετατροπή και θεματική αξιολόγηση. | Κύρια εγγραφή για τη διατριβή Zihe Liu· αφαιρέθηκαν ορφανή landing-page εγγραφή και ακριβές διπλότυπο PDF. | Δημιουργήθηκε από πρωτότυπο PDF με τίτλος, δημιουργός και έτος από το ίδιο PDF· χρειάζεται πλήρης μετατροπή και θεματική αξιολόγηση. | Κύρια εγγραφή για τη διατριβή Zihe Liu· αφαιρέθηκαν ορφανή landing-page εγγραφή και ακριβές διπλότυπο PDF. | Κύρια εγγραφή για τη διατριβή Zihe Liu· αφαιρέθηκαν ορφανή landing-page εγγραφή και ακριβές διπλότυπο PDF."
SRC-A3D907D882,Robust Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning,Shangding Gu; Laixi Shi; Muning Wen; Ming Jin; Eric Mazumdar; Yuejie Chi; Adam Wierman; Costas Spanos,2025,https://arxiv.org/abs/2502.19652,ακαδημαϊκή εργασία,εύρωστη ενισχυτική μάθηση; ανθεκτικότητα και ανάκαμψη; μη στασιμότητα; περιβάλλοντα και benchmarks; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2502.19652 | Αυτόματη διόρθωση παλιού έτους: 2015
SRC-D14764616F,Context-Switching and Adaptation- Brain-Inspired Mechanisms for Handling Environmental Changes - Uni,"Eric Chalmers, Edgar Bermudez Contreras, Brandon Robertson, Artur Luczak, Aaron Gruber",,https://people.uleth.ca/~luczak/papers/Context_Switching_Eric_IEEE_Vanc2016.pdf,ακαδημαϊκή εργασία,μη στασιμότητα; συνεχής προσαρμογή; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,μόνο καταγεγραμμένος σύνδεσμος,υψηλή,
SRC-F909CABDEB,A Survey of Continual Reinforcement Learning,Chaofan Pan; Xin Yang; Yanhua Li; Wei Wei; Tianrui Li; Bo An; Jiye Liang,2025,https://arxiv.org/abs/2506.21872,ακαδημαϊκή εργασία,μη στασιμότητα; βαθιά ενισχυτική μάθηση; συνεχής προσαρμογή; περιβάλλοντα και benchmarks,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,Αυτόματη διόρθωση παλιού τίτλου: https---arxiv.org-pdf-2506.21872
SRC-FE2C0A3E00,AI Safety Gridworlds,Jan Leike; Miljan Martic; Victoria Krakovna; Pedro A. Ortega; Tom Everitt; Andrew Lefrancq; Laurent Orseau; Shane Legg,2017,https://arxiv.org/abs/1711.09883,ακαδημαϊκή εργασία,GridWorld; ασφαλής ενισχυτική μάθηση; βαθιά ενισχυτική μάθηση; πράκτορες τεχνητής νοημοσύνης,διαθέσιμο πλήρες κείμενο,επιβεβαιωμένη μέσω arXiv,υψηλή,
